incident_id,county_unit,incident_name,start_year,date_start,date_cont,origin_dpa,acres_burned,veg_type,cause,structures_dest,structures_dam,fatalities_fire,fatalities_civilian
YNP-75,TUOLUMNE,WOLF,2020,44054,44154,NPS,"2,057", T ,LIGHTNING,,,,
ANF-3273,LOS ANGELES,LAKE,2020,44055,44104,USFS,"31,089"," B, G, T ",UNDETERMINED,34,6,,
ANF-3289,LOS ANGELES,RANCH 2,2020,44056,44077,USFS,"4,237"," B, G ",ARSON,,,,
TNF-1600,SIERRA,LOYALTON,2020,44057,44073,USFS,"47,029"," G, T ",LIGHTNING,35,,,
MNP-12356,SAN BERNARDINO,DOME,2020,44058,44065,NPS,"43,273"," B, G ",LIGHTNING,6,,,
INF-2140,MONO,BEACH,2020,44059,44071,USFS,"3,780"," B, T ",LIGHTNING,,,,
KNP-80,TULARE,RATTLESNAKE,2020,44059,44196,NPS,"8,419"," B, T ",LIGHTNING,,,,
MNF-753,"TRINITY, TEHAMA, GLENN, LAKE,  MENDOCINO",AUGUST COMPLEX,2020,44060,44150,USFS,"889,467"," B, T ",LIGHTNING,34,4,1,
NOD-4682,LASSEN,R-5,2020,44060,44062,BLM,471," B, G ",UNDETERMINED,,,,
PNF-1299,PLUMAS,SHEEP,2020,44060,44083,USFS,"29,570"," B, G, T ",LIGHTNING,26,2,,
PNF-1308,"PLUMAS, BUTTE",NORTH COMPLEX,2020,44060,44165,USFS,"318,935"," B, G, T ",LIGHTNING,"2,352",119,,16
LPF-2428,MONTEREY,DOLAN,2020,44061,44196,USFS,"124,924"," B, G, T ",UNDETERMINED,19,4,,
NOD-4727,LASSEN,W-5 COLD SPRINGS,2020,44061,44087,BLM,"84,817"," B, T ",LIGHTNING,1,,,
RNP-12009,MARIN,WOODWARD,2020,44061,44105,NPS,"4,929"," B, G, T ",LIGHTNING,,,,
SQF-2622,TULARE,SQF COMPLEX,2020,44062,44203,USFS,"175,019"," G, T ",LIGHTNING,232,12,,
KNP-91,TULARE,MORAINE,2020,44064,44196,NPS,"1,316"," B, T ",LIGHTNING,,,,
HTF-30684,MONO,SLINK,2020,44072,44119,USFS,"26,759"," B, G, T ",LIGHTNING,2,,,
SHF-1376,TRINITY,HOBO,2020,44075,44084,USFS,413," B, G, T ",UNDETERMINED,,,,
SNF-1392*,"FRESNO, MADERA",CREEK,2020,44078,44196,USFS,"379,895", T ,UNDETERMINED,858,71,,
CNF-2833,SAN DIEGO,VALLEY,2020,44079,44098,USFS,"16,390"," B, G ",UNDETERMINED,64,11,,
ANF-3687,LOS ANGELES,BOBCAT,2020,44080,44165,USFS,"115,997"," B, T ",UNDETERMINED,169,47,,
ENF-27219,EL DORADO,FORK,2020,44082,44143,USFS,"1,673", T ,UNDETERMINED,,,,
KNF-7035,SISKIYOU,SLATER,2020,44082,44150,USFS,"157,270"," B, T ",UNDETERMINED,353,24,,2
SNF-1402,FRESNO,BULLFROG,2020,44082,44150,USFS,"1,185"," B, G, T ",UNDETERMINED,,,,
KNF-7084,SISKIYOU,DEVIL,2020,44083,18582,USFS,"8,857", T ,UNDETERMINED,,,,
KNF-7241,SISKIYOU,FOX,2020,44088,44104,USFS,"2,188"," B, T ",HUMAN,,,,
LPF3161,MONTEREY,COLEMAN,2020,44122,44150,USFS,574," B, G ",UNDETERMINED,,,,
NOD-6431,LASSEN,LAURA 2,2020,44152,44158,BLM,"2,800"," B, G ",UNDETERMINED,42,7,,
OVD-30860,MONO,MOUNTAIN VIEW,2020,44152,44165,BLM,"20,385"," B, G ",UNDETERMINED,97,,,1
COR-12597,RIVERSIDE,AIRPORT,2020,44166,44182,LOCAL,"1,087"," B, G ",UNDETERMINED,,,,
MVU-20846,SAN DIEGO,CREEK 5,2020,44188,44193,MIL,"4,276"," B, G ",UNDETERMINED,,,,
